Position,Track Name,Artist,Streams,date,region,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Top_50_Appearnces
97.0,Shout Out to My Ex,Little Mix,561342.0,2017-01-01,global,0YHUITU3w6ws1v8ehT264g,0.774,0.7390000000000001,0.0,-4.022,1.0,0.0952,0.0316,5.95e-06,0.11900000000000001,0.823,126.00200000000001,0
98.0,No Heart,21 Savage,553704.0,2017-01-01,global,4gmmRb6bZJffOOiww1JGTO,0.9059999999999999,0.444,4.0,-8.692,0.0,0.384,0.136,6.440000000000001e-05,0.17300000000000001,0.6779999999999999,140.063,0
99.0,Middle,DJ Snake,552314.0,2017-01-01,global,4OZEu0Vwq0RB2LAq14v99n,0.611,0.7,9.0,-5.331,1.0,0.0436,0.0199,0.0,0.0549,0.213,104.98100000000001,0
100.0,Dile Que Tu Me Quieres,Ozuna,549784.0,2017-01-01,global,20ZAJdsKB5IGbGj4ilRt2o,0.721,0.687,1.0,-6.682,1.0,0.0782,0.0998,0.0,0.0679,0.825,175.91400000000002,0
101.0,"Me, Myself & I",G-Eazy,546883.0,2017-01-01,global,40YcuQysJ0KlGQTeGUosTC,0.7559999999999999,0.674,0.0,-6.518,0.0,0.0959,0.0184,0.0,0.158,0.389,111.995,0
103.0,Billie Jean,Michael Jackson,538134.0,2017-01-01,global,5ChkMS8OtdzJeqyybCc9R5,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,0
105.0,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,534629.0,2017-01-01,global,6stYbAJgTszHAHZMPxWWCY,0.7609999999999999,0.8290000000000001,0.0,-3.2030000000000003,0.0,0.0681,0.16699999999999998,0.0,0.18899999999999997,0.813,92.03299999999999,0
106.0,Borro Cassette,Maluma,531529.0,2017-01-01,global,6DUdDIRgLqCGq1DwkNWQTN,0.73,0.701,5.0,-5.885,0.0,0.106,0.132,0.0,0.151,0.785,175.95,0
107.0,Andas En Mi Cabeza,Chino & Nacho,523705.0,2017-01-01,global,5mey7CLLuFToM2P68Qu1gF,0.68,0.9540000000000001,9.0,-1.8230000000000002,1.0,0.11900000000000001,0.0244,0.0,0.11199999999999999,0.521,104.029,0
108.0,Sunset Lover,Petit Biscuit,520460.0,2017-01-01,global,0hNduWmlWmEmuwEFcYvRu1,0.7829999999999999,0.467,6.0,-9.474,1.0,0.0503,0.7290000000000001,0.809,0.109,0.23600000000000002,90.838,0
109.0,Sidewalks,The Weeknd,516467.0,2017-01-01,global,4h90qkbnW1Qq6pBhoPvwko,0.542,0.72,1.0,-5.136,0.0,0.0628,0.147,0.0,0.348,0.623,149.828,0
110.0,Sex,Cheat Codes,515548.0,2017-01-01,global,5DA77EqppDmCTWGovd4oTP,0.51,0.6920000000000001,0.0,-5.825,1.0,0.171,0.00451,0.0,0.138,0.209,102.42,0
111.0,Final Song,MØ,505038.0,2017-01-01,global,4qqArAiTPueDxIp7cf87h7,0.695,0.672,1.0,-6.109,0.0,0.0345,0.013999999999999999,8.44e-05,0.0756,0.245,104.988,0
112.0,All Time Low,Jon Bellion,501034.0,2017-01-01,global,1CnPYaKxTVb4LWOtiGOm0m,0.617,0.5670000000000001,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.24600000000001,62
113.0,Versace on the Floor,Bruno Mars,500917.0,2017-01-01,global,0kN8xEmgMW9mh7UmDYHlJP,0.578,0.574,2.0,-6.209,1.0,0.0454,0.196,0.0,0.083,0.301,174.15200000000002,0
114.0,Six Feet Under,The Weeknd,489564.0,2017-01-01,global,4mU5iXHeLgbR94siF7p1sY,0.772,0.504,6.0,-8.219,0.0,0.0761,0.129,0.0,0.125,0.244,140.035,0
115.0,Fresh Eyes,Andy Grammer,489550.0,2017-01-01,global,4nMlau89VAjmV7agkl7OY3,0.8220000000000001,0.544,0.0,-6.797000000000001,1.0,0.0332,0.562,2.4e-05,0.14400000000000002,0.861,122.04700000000001,0
116.0,Vacaciones,Wisin,487214.0,2017-01-01,global,3dQDid3IUNhZy1OehIfYfE,0.772,0.909,6.0,-3.225,0.0,0.166,0.256,0.0,0.255,0.6940000000000001,96.031,0
117.0,Bohemian Rhapsody - Remastered 2011,Queen,482964.0,2017-01-01,global,1AhDOtG9vPSOmsWgNW0BEY,0.414,0.40399999999999997,0.0,-9.927999999999999,0.0,0.0499,0.271,0.0,0.3,0.22399999999999998,71.105,0
118.0,pick up the phone,Young Thug,480609.0,2017-01-01,global,20dP2DaMHIAmwWAbp7peSr,0.711,0.7390000000000001,7.0,-3.804,0.0,0.129,0.114,0.0,0.226,0.43,136.91899999999998,0
119.0,You Was Right,Lil Uzi Vert,476850.0,2017-01-01,global,2ANLarE8yHVsLWW21nj79M,0.843,0.359,0.0,-7.417000000000001,1.0,0.461,0.069,0.0,0.12,0.156,81.98700000000001,0
120.0,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,476309.0,2017-01-01,global,40UroIGvsMPLPBYwH8rMNA,0.779,0.6709999999999999,9.0,-5.829,1.0,0.0814,0.153,1.12e-05,0.115,0.718,104.95299999999999,0
121.0,Roses (feat. ROZES),The Chainsmokers,475190.0,2017-01-01,global,6O6M7pJLABmfBRoGZMu76Y,0.716,0.8059999999999999,4.0,-7.602,1.0,0.0466,0.0361,0.00413,0.244,0.34700000000000003,100.03299999999999,0
